file,sheet,method,row_index,column_name,value
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,OBJKOD,k
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,TALP,41.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,SZURO_F,17.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,SZURO_A,35.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,SZURO_DB,2.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,SZUROHOSSZ,15.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,LETESITESEVE,1998.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,NYUGALMI,-0.4
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,UZEMI,-8.8
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,HOZAM,1800.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,HOMERS,13.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,Z,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,2.0,AA,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,OBJHELY,14037.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,CSOPHELY,14037
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,CSOPSZAM,40
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,VIZIGKOD,7
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,OBJSZAM,K-32
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,TERMELES ezerm3/év,0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,SZARMAZAS,2
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,TELEPULES_KAT,Ajak
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,TELEPÜLÉS,Ajak
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,HELYINEV_KAT,Poncsák András II. ö.t. 2-es öntözőkút  
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,HELYINEV,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,EOVY,872140
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,EOVX,319536.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,TSZF,103.21
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,OBJKOD,k
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,TALP,45.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,SZURO_F,18.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,SZURO_A,39.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,SZURO_DB,3.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,SZUROHOSSZ,15.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,LETESITESEVE,1998.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,NYUGALMI,-3.7
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,UZEMI,-8.5
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,HOZAM,1400.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,HOMERS,14.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,Z,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,3.0,AA,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,OBJHELY,14037.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,CSOPHELY,14037
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,CSOPSZAM,50
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,VIZIGKOD,7
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,OBJSZAM,K-30
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,TERMELES ezerm3/év,0
